"STOP_NAME","MAP_ID","X","Y","avg_weekday_rides","avg_saturday_rides","avg_sunday.holiday_rides","monthtotal"
"Clark/Lake (O'Hare-bound)",40380,41.885737,-87.630886,"6,802","2,811","2,357.3","168,229"
"Grand/Milwaukee (O'Hare-bound)",40490,41.891189,-87.647578,"1,369","938.8","714.5","36,791"
"Division (O'Hare-bound)",40320,41.903355,-87.666496,"2,781.5","1,751.3","1,237.8","72,844"
"Pulaski (Loop-bound)",40960,41.799756,-87.724493,"2,663.6","1,078.8","854.3","65,376"
"18th (Loop-bound)",40830,41.857908,-87.669147,"931.6","715.3","490.8","25,369"
"Sheridan (Howard-Linden-bound)",40080,41.953775,-87.654929,"2,134.6","1,575.8","1,150.5","58,032"
"Chicago (Forest Pk-bound)",41410,41.896075,-87.655214,"1,859.3","1,007.3","767.3","47,679"
"Merchandise Mart (Kimball-Linden-bound)",40460,41.888969,-87.633924,"3,256.2","1,173","747.8","77,559"
"Western (Midway-bound)",40310,41.804546,-87.684019,"2,021","996.8","767.8","51,035"
"O'Hare (Terminal Arrival)",40890,41.97766526,-87.90422307,"5,445.9","4,806.3","5,302","165,401"
"43rd (Harlem-bound)",41270,41.816462,-87.619021,"423.1","242.8","201.2","11,063"
"Racine (Forest Pk-bound)",40470,41.87592,-87.659458,"982.9","448.3","360.3","24,595"
"California (63rd-bound)",41360,41.88422,-87.696234,"565.8","282","239.2","14,445"
"Division (Forest Pk-bound)",40320,41.903355,-87.666496,"2,781.5","1,751.3","1,237.8","72,844"
"Sox-35th (Howard-bound)",40190,41.831191,-87.630636,"1,441","845","674.2","37,686"
"Cicero (54th/Cermak-bound)",40420,41.85182,-87.745336,"636","460.8","369","17,414"
"Logan Square (Forest Pk-bound)",41020,41.929728,-87.708541,"3,127.2","1,993.8","1,442.5","82,301"
"Morse (Howard-bound)",40100,42.008362,-87.665909,"1,995.2","1,511","1,191.2","55,090"
"Damen/Milwaukee (O'Hare-bound)",40590,41.909744,-87.677437,"2,613.7","2,073","1,515.5","72,273"
"Sedgwick (Loop-bound)",40800,41.910409,-87.639302,"2,082.9","1,234","860.3","53,839"
"Addison (Forest Pk-bound)",41240,41.94738,-87.71906,"1,259.7","618.5","472.2","31,760"
"Ashland (Loop-63rd-bound)",40170,41.885269,-87.666969,"1,357","818","573.8","35,212"
"Irving Park (O'Hare Branch) (Forest Pk-bound)",40550,41.952925,-87.729229,"1,883.2","1,095.8","870.3","49,153"
"Wilson (Linden-bound)",40540,41.964273,-87.657588,"4,098.1","3,136.8","2,258","112,155"
"Cermak-Chinatown (Howard-bound)",41000,41.853206,-87.630968,"1,802.4","2,479.5","2,511.2","62,836"
"LaSalle (Forest Pk-bound)",41340,41.875568,-87.631722,"1,422.8","620.8","533.2","35,561"
"Thorndale (Howard-bound)",40880,41.990259,-87.659076,"1,337.8","968.5","721.3","36,295"
"79th (Howard-bound)",40240,41.750419,-87.625112,"2,429.1","1,748.5","1,502.7","67,022"
"Granville (Howard-bound)",40760,41.993664,-87.659202,"1,785.2","1,558.5","1,048.5","50,015"
"Jackson/Dearborn (O'Hare-bound)",40070,41.878183,-87.629296,"2,851.2","1,237.5","1,019.7","70,944"
"Addison (95th-bound)",41420,41.947428,-87.653626,"3,006.2","2,784.3","2,202.8","87,485"
"Clinton (Forest Pk-bound)",40430,41.875539,-87.640984,"1,497.4","623.8","542.8","37,198"
"Oak Park (Harlem-bound)",41350,41.886988,-87.793783,"547.7","294","199.2","13,873"
"Rockwell (Loop-bound)",41010,41.966115,-87.6941,"815.5","507.8","331.8","21,148"
"Lawrence (95th-bound)",40770,41.969139,-87.658493,"0","0","0","0"
"Central (63rd-bound)",40280,41.887389,-87.76565,"962.9","570.8","498.5","25,494"
"Conservatory (Harlem-bound)",41670,41.884904,-87.716523,"453.7","476.8","326.8","13,395"
"Wellington (Loop-bound)",41210,41.936033,-87.653266,"1,527","841.5","550.2","38,733"
"Noyes (Linden-bound)",40400,42.058282,-87.683337,"514.7","374.8","197.5","13,493"
"Illinois Medical District (O'Hare-bound)",40810,41.875706,-87.673932,"1,360","580.8","472.5","33,717"
"47th (Harlem-bound)",41080,41.809209,-87.618826,"470.3","289.8","226","12,392"
"Lake (Howard-bound)",41660,41.884809,-87.627813,"7,186.6","5,233","3,935","195,461"
"Belmont (Kimball-Linden-bound)",41320,41.939751,-87.65338,"5,423.6","4,890.3","3,594.3","155,023"
"Jarvis (95th-bound)",41190,42.015876,-87.669092,"784","668.8","486.5","22,057"
"Halsted (Midway-bound)",41130,41.84678,-87.648088,"1,376","588","463","34,026"
"Davis (Howard-Loop-bound)",40050,42.04771,-87.683543,"1,418.8","1,076.5","729.2","38,476"
"Roosevelt (95th-bound)",41400,41.867368,-87.627402,"4,981.7","4,096.5","3,585.2","142,512"
"Fullerton (Howard-bound)",41220,41.925051,-87.652866,"7,511.2","4,747.5","3,748.7","199,218"
"Noyes (Howard-Loop-bound)",40400,42.058282,-87.683337,"514.7","374.8","197.5","13,493"
"Chicago (Kimball-Linden-bound)",40710,41.89681,-87.635924,"3,256.6","1,825.5","1,184.7","82,799"
"LaSalle (O'Hare-bound)",41340,41.875568,-87.631722,"1,422.8","620.8","533.2","35,561"
"Monroe (Howard-bound)",41090,41.880745,-87.627696,"2,919.7","1,495.3","1,131.8","74,085"
"Conservatory (63rd-bound)",41670,41.884904,-87.716523,"453.7","476.8","326.8","13,395"
"Kedzie (Kimball-bound)",41180,41.965996,-87.708821,"1,021","797","579.2","28,105"
"51st (Harlem-bound)",40130,41.80209,-87.618487,"418","244","202.7","10,970"
"Garfield (Harlem-bound)",40510,41.795172,-87.618327,"502","311","252","13,297"
"Ashland (Midway-bound)",41060,41.839234,-87.665317,"951.5","480.3","401.2","24,309"
"Grand/State (Howard-bound)",40330,41.891665,-87.628021,"3,658.2","4,018.8","3,429.8","113,477"
"Cermak-McCormick Place (Harlem-bound)",41690,41.853115,-87.626402,"704","701","462.5","20,362"
"Garfield (63rd-bound)",40510,41.795172,-87.618327,"502","311","252","13,297"
"Polk (54th/Cermak-bound)",41030,41.871551,-87.66953,"1,833.4","465.5","350","42,464"
"Damen (Kimball-bound)",40090,41.966286,-87.678639,"1,344.2","793","497","34,383"
"Pulaski (54th/Cermak-bound)",40150,41.853732,-87.724311,"612.8","443.8","356.7","16,783"
"35th/Archer (Loop-bound)",40120,41.829353,-87.680622,"1,462.7","720","536","36,813"
"South Blvd (Howard-Loop-bound)",40840,42.027612,-87.678329,"339.7","191.5","148.2","8,788"
"Main (Linden-bound)",40270,42.033456,-87.679538,"484","363.8","274.2","13,263"
"Wilson (95th-bound)",40540,41.964273,-87.657588,"4,098.1","3,136.8","2,258","112,155"
"Jackson/State (95th-bound)",40560,41.878153,-87.627596,"3,460","1,458.8","1,269","86,110"
"Addison (Howard-bound)",41420,41.947428,-87.653626,"3,006.2","2,784.3","2,202.8","87,485"
"Argyle (Howard-bound)",41200,41.973453,-87.65853,"2,027.6","1,997.3","1,320","58,489"
"H.W. Library (Outer Loop)",40850,41.876862,-87.628196,"2,270.6","975.3","772","56,216"
"Sheridan (Howard-bound)",40080,41.953775,-87.654929,"2,134.6","1,575.8","1,150.5","58,032"
"Austin (O'Hare-bound)",40010,41.870851,-87.776812,"672.7","287.8","252.3","16,792"
"Irving Park (O'Hare Branch) (O'Hare-bound)",40550,41.952925,-87.729229,"1,883.2","1,095.8","870.3","49,153"
"Washington (O'Hare-bound)",40370,41.883164,-87.62944,"5,283.5","2,977.3","2,330","136,843"
"Central (Harlem-bound)",40280,41.887389,-87.76565,"962.9","570.8","498.5","25,494"
"Kedzie-Homan (O'Hare-bound)",40250,41.874341,-87.70604,"755.8","497","442.2","20,513"
"Wilson (Loop-bound)",40540,41.964273,-87.657588,"4,098.1","3,136.8","2,258","112,155"
"63rd (Howard-bound)",40910,41.780536,-87.630952,"969.9","684","647.7","26,989"
"H.W. Library (Inner Loop)",40850,41.876862,-87.628196,"2,270.6","975.3","772","56,216"
"Kedzie (Loop-bound)",41150,41.804236,-87.704406,"1,953","973","698.7","49,098"
"Laramie (63rd-bound)",40700,41.887163,-87.754986,"531.4","331.8","239.8","13,926"
"87th (95th-bound)",41430,41.735372,-87.624717,"1,503.5","1,009.3","845.5","40,684"
"Austin (Forest Pk-bound)",40010,41.870851,-87.776812,"672.7","287.8","252.3","16,792"
"Western (Forest Pk Branch) (Forest Pk-bound)",40220,41.875478,-87.688436,"689.6","410.5","332.2","18,116"
"Western (Kimball-bound)",41480,41.966163,-87.688502,"1,866.8","1,340.3","943.8","50,227"
"California (O'Hare-bound)",40570,41.921939,-87.69689,"2,302.4","1,555.3","1,089.7","61,110"
"Forest Park (O'Hare-bound)",40390,41.874257,-87.817318,"1,144.2","557.5","445.8","28,934"
"Washington/Wabash (Outer Loop)",41700,41.88322,-87.626189,"5,166","3,132.8","2,445.7","135,690"
"Main (Howard-Loop-bound)",40270,42.033456,-87.679538,"484","363.8","274.2","13,263"
"Rosemont (O'Hare-bound)",40820,41.983507,-87.859388,"2,714.4","1,693.3","1,384","72,079"
"Adams/Wabash (Inner Loop)",40680,41.879507,-87.626037,"3,625.2","1,556.3","1,198.7","89,546"
"Cermak-Chinatown (95th-bound)",41000,41.853206,-87.630968,"1,802.4","2,479.5","2,511.2","62,836"
"51st (63rd-bound)",40130,41.80209,-87.618487,"418","244","202.7","10,970"
"Berwyn (95th-bound)",40340,41.977984,-87.658668,"0","0","0","0"
"Harlem (O'Hare Branch) (O'Hare-bound)",40750,41.98227,-87.8089,"1,324.3","583","469.2","32,958"
"Belmont (O'Hare Branch) (O'Hare-bound)",40060,41.938132,-87.712359,"2,617.3","1,560.8","1,183","68,304"
"Polk (Loop-bound)",41030,41.871551,-87.66953,"1,833.4","465.5","350","42,464"
"Kedzie-Homan (Forest Pk-bound)",40250,41.874341,-87.70604,"755.8","497","442.2","20,513"
"Clark/Division (Howard-bound)",40630,41.90392,-87.631412,"3,641.4","3,047.5","2,224.7","102,007"
