"STOP_NAME","MAP_ID","X","Y","avg_weekday_rides","avg_saturday_rides","avg_sunday.holiday_rides","monthtotal"
"LaSalle/Van Buren (Inner Loop)",40160,41.8768,-87.631739,"1,370","342","234.2","31,542"
"Clinton (Harlem-54th/Cermak-bound)",41160,41.885678,-87.641782,"2,008.2","932.5","638.3","49,732"
"Washington/Wells (Outer Loop)",40730,41.882695,-87.63378,"3,916","574.8","459.8","87,294"
"Garfield (95th-bound)",41170,41.79542,-87.631157,"1,273.3","972","664","34,611"
"Austin (Harlem-bound)",41260,41.887293,-87.774135,"860.3","458.5","359.8","22,059"
"54th/Cermak (Loop-bound)",40580,41.85177331,-87.75669201,"1,242.9","680.5","521.2","31,949"
"Irving Park (Loop-bound)",41460,41.954521,-87.674868,"1,358.4","767.5","506.5","34,636"
"Logan Square (O'Hare-bound)",41020,41.929728,-87.708541,"3,127.2","1,993.8","1,442.5","82,301"
"Central Park (54th/Cermak-bound)",40780,41.853839,-87.714842,"548.9","335.8","264.3","14,455"
"California (54th/Cermak-bound)",40440,41.854109,-87.694774,"792.9","442.5","342.5","20,475"
"Kedzie (Loop-bound)",41040,41.853964,-87.705408,"563.5","363","268.3","14,896"
"UIC-Halsted (Forest Pk-bound)",40350,41.875474,-87.649707,"3,279.7","1,042.8","738.8","77,477"
"Clark/Lake (Inner Loop)",40380,41.885737,-87.630886,"6,802","2,811","2,357.3","168,229"
"Dempster (Linden-bound)",40690,42.041655,-87.681602,"360.6","305","235","10,202"
"Roosevelt (Midway-63rd-bound)",41400,41.867405,-87.62659,"4,981.7","4,096.5","3,585.2","142,512"
"Oak Park (O'Hare-bound)",40180,41.872108,-87.791602,"580.8","216.8","175","14,113"
"Francisco (Loop-bound)",40870,41.966046,-87.701644,"773.5","442","294","19,776"
"Cicero (Harlem-bound)",40480,41.886519,-87.744698,"530","359","283.5","14,267"
"Montrose (O'Hare-bound)",41330,41.961539,-87.743574,"1,092.3","605","491.2","28,305"
"North/Clybourn (Howard-bound)",40650,41.910655,-87.649177,"2,385.5","2,319.5","1,650.7","69,277"
"O'Hare (Forest Pk-bound)",40890,41.97766526,-87.90422307,"5,445.9","4,806.3","5,302","165,401"
"Cumberland (Forest Pk-bound)",40230,41.984246,-87.838028,"1,475.8","746.8","605.8","37,613"
